METERID,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geo Local Area,Latitude,Longitude,Avg_Weekday_Rate,Avg_Weekend_Rate,Is_Weekend_Cheaper
742112,Pay Station,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50035,Mount_Pleasant,49.26591003,-123.10274,1.5,3,False
742209,Pay Station,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50062,Mount_Pleasant,49.26518302,-123.1029611,1.5,3,False
A50014,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,59869,Mount_Pleasant,49.26641413,-123.1041274,1.5,3,False
522208,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50086,Mount_Pleasant,49.26531203,-123.109312,1.5,3,False
B60115,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,59840,Mount_Pleasant,49.265687,-123.107629,1.5,3,False
B60130,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50788,Mount_Pleasant,49.26559299,-123.1087009,1.5,3,False
B60207,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50802,Mount_Pleasant,49.26573099,-123.10992,1.5,3,False
B60206,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50799,Mount_Pleasant,49.26561404,-123.109838,1.5,3,False
742107,Pay Station,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50036,Mount_Pleasant,49.26610002,-123.102938,1.5,3,False
B60007,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,59841,Mount_Pleasant,49.26563893,-123.10553,1.5,3,False
522112,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,57943,Mount_Pleasant,49.26599203,-123.1093531,1.5,3,False
522209,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,Yes,50329,Mount_Pleasant,49.26526798,-123.1095719,1.5,3,False
752216,Twin Bay Single,2,1,2,1,2,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,2,2,2,2,2,2,Yes,52947,Mount_Pleasant,49.264992,-123.1047259,1.5,3,False
101014,Pay Station,11,4,11,4,11,4,5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66602,Downtown,49.28584345,-123.1201731,7.5,15,False
040032,Pay Station,4,3,4,3,4,3,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67804,Downtown,49.28279104,-123.106408,3.5,7,False
8M2414,Single,2,2,2,2,2,2,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,13,No,51070,Kitsilano,49.26452886,-123.1738903,2,4,False
B60097,Single Motorbike,1,0.5,1,0.5,1,0.5,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,26,26,26,26,26,26,26,No,54394,Mount_Pleasant,49.26562986,-123.1050161,0.75,1.5,False
061029,Single,8,7,8,7,8,7,4,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,65274,Downtown,49.28764956,-123.1186262,7.5,15,False
170916,Twin,2,2,2,2,2,2,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,66448,Downtown,49.27777366,-123.1305029,2,4,False
540530,Pay Station,2,2,2,2,2,2,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,Yes,66613,Downtown,49.28007104,-123.107518,2,4,False
540523,Pay Station,2,2,2,2,2,2,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,Yes,66614,Downtown,49.280228,-123.107721,2,4,False
010020,Pay Station,2,3,2,3,2,3,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66624,Downtown,49.28350475,-123.1032183,2.5,5,False
B42242,Twin,4,2,4,2,4,2,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51976,Kitsilano,49.26811794,-123.1571276,3,6,False
NA1608,Pay Station,3,2,3,2,3,2,1.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59986,Mount_Pleasant,49.27116811,-123.1059663,2.5,5,False
170912,Single,2,2,2,2,2,2,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,66421,Downtown,49.27770362,-123.1303959,2,4,False
170914,Twin,2,2,2,2,2,2,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,66405,Downtown,49.27777366,-123.1305029,2,4,False
540510,Pay Station,2,2,2,2,2,2,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4,3,4,3,4,3,Yes,66613,Downtown,49.28062398,-123.107513,2,4,False
010002,Pay Station,2,3,2,3,2,3,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66624,Downtown,49.28341141,-123.1037377,2.5,5,False
010040,Pay Station,2,3,2,3,2,3,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66624,Downtown,49.28361629,-123.1026553,2.5,5,False
B42244,Single,4,2,4,2,4,2,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,57122,Kitsilano,49.26811769,-123.1573079,3,6,False
040030,Twin,4,3,4,3,4,3,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,No,63157,Downtown,49.28269876,-123.1058821,3.5,7,False
030137,Pay Station,2,2,2,2,2,2,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67815,Downtown,49.28326255,-123.1000849,2,4,False
NA1620,Pay Station,3,2,3,2,3,2,1.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59986,Mount_Pleasant,49.27062374,-123.1059927,2.5,5,False
101024,Pay Station,11,4,11,4,11,4,5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66602,Downtown,49.28591208,-123.120547,7.5,15,False
640610,Pay Station,8,3,8,3,8,3,5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,67090,Downtown,49.285188,-123.1197412,5.5,11,False
490007,Pay Station,3,2,3,2,3,2,1.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67829,Strathcona,49.28453068,-123.0953295,2.5,5,False
B41906,Twin,4,6,4,6,4,6,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51835,Kitsilano,49.26798427,-123.1485197,5,10,False
B41908,Twin,4,6,4,6,4,6,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51863,Kitsilano,49.26798427,-123.1485197,5,10,False
B41910,Twin,4,6,4,6,4,6,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51891,Kitsilano,49.26798403,-123.1487031,5,10,False
B41912,Twin,4,6,4,6,4,6,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51947,Kitsilano,49.26798403,-123.1487031,5,10,False
B41934,Single,4,6,4,6,4,6,2.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51975,Kitsilano,49.26799865,-123.149728,5,10,False
B42240,Twin,4,2,4,2,4,2,2,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,No,51948,Kitsilano,49.26811794,-123.1571276,3,6,False
